N,logN,NlogN,N^2,nieve,dom_interview,smart
1000,6.907755278982137,6907.755278982137,1000000,18192411,119511568,9452092
2000,7.600902459542082,15201.804919084165,4000000,16563834,668447728,2456407
3000,8.006367567650246,24019.10270295074,9000000,33878121,2167985632,2593829
4000,8.294049640102028,33176.19856040811,16000000,58895871,5418132924,3240617
5000,8.517193191416238,42585.96595708119,25000000,111009499,10241983344,4067676
6000,8.699514748210191,52197.08848926115,36000000,127466196,17869949022,3576004
7000,8.85366542803745,61975.657996262154,49000000,168523477,28533981973,6726265
8000,8.987196820661973,71897.57456529578,64000000,225151729,42871557099,5156797
9000,9.104979856318357,81944.8187068652,81000000,284704725,61042243409,5779273
